left knee,left knee,left knee,right knee,right knee,right knee,left hip,left hip,left hip,right hip,right hip,right hip
x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
641.2470703,493.9176331,0.948729753,434.1025696,484.6491699,0.883330762,624.8414307,128.3191528,0.854024887,399.5302734,144.1591492,0.881094396
638.0980225,494.8218384,0.955529511,434.4308777,485.372406,0.883561671,627.3965454,130.1103668,0.908724964,401.0816345,144.4567108,0.881871164
635.0223999,496.949646,0.945447624,435.3189392,486.1952515,0.877699912,629.7372437,133.4153137,0.940492988,403.3913269,143.6907501,0.891943693
632.2838135,499.0357666,0.960858047,435.5371704,486.7747192,0.873425484,631.2072144,135.765625,0.931367397,405.4222107,143.8763428,0.903160393
635.5432129,499.7697449,0.948337436,436.99823,486.8485718,0.878316879,632.4709473,134.8044434,0.885368764,406.9993591,141.9297638,0.889555573
636.984436,497.3626404,0.94398731,439.6630859,485.9801636,0.892086685,635.7150879,132.4941254,0.873875856,411.6723022,141.6963654,0.844701231
637.8895874,496.431366,0.941637337,442.3126526,485.8165894,0.858330548,640.7974243,131.5868988,0.908628285,414.2687683,139.9919281,0.896545708
638.7124634,496.1247559,0.944957733,447.2825928,487.1691589,0.853182375,645.0717773,132.7936859,0.937633872,417.0508728,139.4686584,0.885132492
640.3098145,496.0210266,0.950125098,449.2721863,486.8612366,0.871367037,647.3939209,133.7295074,0.903930902,420.4320068,139.0690002,0.874045849
641.3837891,496.0671082,0.95318222,450.0788574,487.0836182,0.879355669,650.9122925,132.5319519,0.839146614,424.0670471,138.3232422,0.847408295
643.1057739,496.7612305,0.954985857,450.6608887,487.1515198,0.880522907,654.3789063,132.4885559,0.918784976,428.9035645,138.540451,0.831174433
644.6282349,496.5509033,0.95825243,451.6874695,487.1421509,0.883767664,658.2199097,132.2994232,0.911251426,430.4264526,139.0375061,0.883271694
645.663208,496.5439453,0.95993346,452.6925354,487.4529114,0.883694708,661.3866577,133.6495514,0.934524655,431.8676758,138.7073517,0.883829415
646.2481689,496.7552795,0.960300028,452.5134583,487.649231,0.882658124,662.8934937,133.8921814,0.928129375,434.1186829,139.3328857,0.86768657
647.6838989,497.2904053,0.955635667,452.5066528,488.4125977,0.862876713,665.3237915,133.3374786,0.872659683,437.2461243,139.449173,0.863620102
649.6379395,498.6495361,0.948918879,454.3533325,491.0137024,0.868520498,667.4956055,133.4238739,0.85012579,439.0631714,138.6737976,0.851843953
651.3903198,499.8830872,0.927487731,455.0322876,491.177002,0.864129841,669.3212891,133.6026917,0.909645021,441.2734985,138.3881683,0.828250587
652.4917603,497.7507019,0.935251176,456.3857117,491.9107361,0.875602186,671.0076904,133.516571,0.929737508,442.4403076,138.6159363,0.813924849
654.225769,498.5598755,0.943264723,457.096283,492.2814636,0.867981553,673.5239258,133.685379,0.926122665,445.4161072,139.5378113,0.848537683
655.5584106,499.4307861,0.950614572,457.3674011,492.7419128,0.872696638,675.5336304,134.8804779,0.931020856,446.1187134,139.8262024,0.868751228
657.5122681,500.4494019,0.955426455,458.0511169,493.1977234,0.877329528,676.7609863,135.7755127,0.935684919,446.6308594,139.3308105,0.864695907
